df_indexes,away_starters,home_starters,away_text,home_text,game_time_remaining,away_game_score,home_game_score,home_substitution_out,home_substitution_in,away_substitution_out,away_substitution_in,elapsed_game_time,home_team,away_team,date_of_game,indexes,current_home_five_players,current_away_five_players,,Mikal Bridges,Jae Crowder,Deandre Ayton,Devin Booker,Chris Paul,Cameron Johnson,Cameron Payne,Torrey Craig,Dario Saric,ETwaun Moore,LeBron James,Anthony Davis,Andre Drummond,Kentavious Caldwell,Dennis Schroder,Kyle Kuzma,Montrezl Harrell,Alex Caruso,Talen Horton,Wesley Matthews
10,LeBron James,0,LeBron James enters as starting Forward,,12:00,0,0,0,0,0,0,0.0,Suns,Lakers,2021-05-23,0,,LeBron James,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Anthony Davis,0,Anthony Davis enters as starting Forward,,12:00,0,0,0,0,0,0,0.0,Suns,Lakers,2021-05-23,1,,"LeBron James, Anthony Davis",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Andre Drummond,0,Andre Drummond enters as starting Center,,12:00,0,0,0,0,0,0,0.0,Suns,Lakers,2021-05-23,2,,"LeBron James, Anthony Davis, Andre Drummond",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Kentavious Caldwell,0,Kentavious Caldwell enters as starting Gua=rd,,12:00,0,0,0,0,0,0,0.0,Suns,Lakers,2021-05-23,3,,"LeBron James, Anthony Davis, Andre Drummond, Kentavious Caldwell",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,14.0,15.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Dennis Schroder,0,Dennis Schroder enters as starting Guard,,12:00,0,0,0,0,0,0,0.0,Suns,Lakers,2021-05-23,4,,"LeBron James, Anthony Davis, Andre Drummond, Kentavious Caldwell, Dennis Schroder",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,14.0,15.0,16.0,17.0,0.0,0.0,0.0,0.0,0.0
15,0,Mikal Bridges,,Mikal Bridges enters as starting Forward,12:00,0,0,0,0,0,0,0.0,Suns,Lakers,2021-05-23,5,Mikal Bridges,"LeBron James, Anthony Davis, Andre Drummond, Kentavious Caldwell, Dennis Schroder",0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,14.0,15.0,16.0,17.0,0.0,0.0,0.0,0.0,0.0
16,0,Jae Crowder,,Jae Crowder enters as starting Forward,12:00,0,0,0,0,0,0,0.0,Suns,Lakers,2021-05-23,6,"Mikal Bridges, Jae Crowder","LeBron James, Anthony Davis, Andre Drummond, Kentavious Caldwell, Dennis Schroder",0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,14.0,15.0,16.0,17.0,0.0,0.0,0.0,0.0,0.0
17,0,Deandre Ayton,,Deandre Ayton enters as starting Center,12:00,0,0,0,0,0,0,0.0,Suns,Lakers,2021-05-23,7,"Mikal Bridges, Jae Crowder, Deandre Ayton","LeBron James, Anthony Davis, Andre Drummond, Kentavious Caldwell, Dennis Schroder",0.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,14.0,15.0,16.0,17.0,0.0,0.0,0.0,0.0,0.0
18,0,Devin Booker,,Devin Booker enters as starting Guard,12:00,0,0,0,0,0,0,0.0,Suns,Lakers,2021-05-23,8,"Mikal Bridges, Jae Crowder, Deandre Ayton, Devin Booker","LeBron James, Anthony Davis, Andre Drummond, Kentavious Caldwell, Dennis Schroder",0.0,2.0,3.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,14.0,15.0,16.0,17.0,0.0,0.0,0.0,0.0,0.0
19,0,Chris Paul,,Chris Paul enters as starting Guard,12:00,0,0,0,0,0,0,0.0,Suns,Lakers,2021-05-23,9,"Mikal Bridges, Jae Crowder, Deandre Ayton, Devin Booker, Chris Paul","LeBron James, Anthony Davis, Andre Drummond, Kentavious Caldwell, Dennis Schroder",0.0,2.0,3.0,4.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,13.0,14.0,15.0,16.0,17.0,0.0,0.0,0.0,0.0,0.0
20,0,0,Andre Drummond wins the jump ball. Deandre Ayton loses the jump ball.,,11:56,0,0,0,0,0,0,4.0,Suns,Lakers,2021-05-23,10,"Mikal Bridges, Jae Crowder, Deandre Ayton, Devin Booker, Chris Paul","LeBron James, Anthony Davis, Andre Drummond, Kentavious Caldwell, Dennis Schroder",0.0,2.0,3.0,4.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,13.0,14.0,15.0,16.0,17.0,0.0,0.0,0.0,0.0,0.0
21,0,0,,Jae Crowder 3 point shot missed.,11:34,0,0,0,0,0,0,26.0,Suns,Lakers,2021-05-23,11,"Mikal Bridges, Jae Crowder, Deandre Ayton, Devin Booker, Chris Paul","LeBron James, Anthony Davis, Andre Drummond, Kentavious Caldwell, Dennis Schroder",0.0,2.0,3.0,4.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,13.0,14.0,15.0,16.0,17.0,0.0,0.0,0.0,0.0,0.0
22,0,0,,Chris Paul offensive rebound.,11:30,0,0,0,0,0,0,30.0,Suns,Lakers,2021-05-23,12,"Mikal Bridges, Jae Crowder, Deandre Ayton, Devin Booker, Chris Paul","LeBron James, Anthony Davis, Andre Drummond, Kentavious Caldwell, Dennis Schroder",0.0,2.0,3.0,4.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,13.0,14.0,15.0,16.0,17.0,0.0,0.0,0.0,0.0,0.0
23,0,0,,Devin Booker 3 point shot missed.,11:28,0,0,0,0,0,0,32.0,Suns,Lakers,2021-05-23,13,"Mikal Bridges, Jae Crowder, Deandre Ayton, Devin Booker, Chris Paul","LeBron James, Anthony Davis, Andre Drummond, Kentavious Caldwell, Dennis Schroder",0.0,2.0,3.0,4.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,13.0,14.0,15.0,16.0,17.0,0.0,0.0,0.0,0.0,0.0
24,0,0,Andre Drummond defensive rebound.,,11:25,0,0,0,0,0,0,35.0,Suns,Lakers,2021-05-23,14,"Mikal Bridges, Jae Crowder, Deandre Ayton, Devin Booker, Chris Paul","LeBron James, Anthony Davis, Andre Drummond, Kentavious Caldwell, Dennis Schroder",0.0,2.0,3.0,4.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,13.0,14.0,15.0,16.0,17.0,0.0,0.0,0.0,0.0,0.0
